max_weight (grams),price (baht)
20,32
100,37
250,42
500,52
1000,67
1500,82
2000,97
2500,122
3000,132
3500,142
4000,152
4500,162
5000,172
5500,192
6000,212
6500,232
7000,252
7500,272
8000,292
8500,312
9000,332
9500,352
10000,372
11000,452
12000,492
13000,507
14000,522
15000,537
16000,552
17000,567
18000,582
19000,597
20000,612
